# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = prior_mix_model
# start_datetime = 2023-01-12 14:18:24 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\prior_mix\prior_mix.data.R
# init = 2 (Default)
# random
#   seed = 2910990458 (Default)
# output
#   file = examples\prior_mix\prior_mixvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,mu.1
0,-29.8469,-0.0621388,-2.91327
0,-34.2815,-4.41473,-3.94877
0,-29.6888,-0.00473472,-2.78016
0,-29.8125,-0.190927,-2.37556
0,-30.0833,-0.366183,-2.23096
0,-30.2557,-0.467183,-2.16191
0,-30.0242,-0.330125,-2.2576
0,-30.4322,-0.39524,-3.17367
0,-30.3365,-0.333566,-3.14011
0,-29.7639,-0.0279318,-2.85342
0,-30.0493,-0.345517,-2.24608
0,-29.8654,-0.227633,-2.34148
0,-30.9332,-0.751466,-3.32384
0,-29.6456,-0.00041592,-2.71217
0,-30.0935,-0.372334,-2.22653
0,-30.9536,-0.767076,-3.32929
0,-29.9911,-0.309504,-2.27342
0,-29.647,-0.0520799,-2.54813
0,-30.4324,-0.395382,-3.17375
0,-29.7288,-0.128082,-2.44184
0,-29.6801,-0.0863645,-2.49468
0,-29.662,-0.000386265,-2.74287
0,-31.8946,-1.57353,-3.54686
0,-29.8209,-0.196865,-2.36986
0,-29.7727,-0.0312697,-2.86056
0,-30.0472,-0.162495,-3.02202
0,-29.7362,-0.0181955,-2.8296
0,-30.0137,-0.144444,-3.006
0,-29.9299,-0.2704,-2.30476
0,-29.7279,-0.127363,-2.44267
0,-30.0015,-0.13799,-3.00001
0,-29.7586,-0.15131,-2.4159
0,-29.6521,-9.007e-006,-2.72554
0,-29.6287,-0.00938911,-2.65269
0,-30.7373,-0.727225,-2.00931
0,-33.7567,-3.68191,-3.8715
0,-31.3685,-1.10201,-3.43232
0,-34.3056,-2.29545,-1.37041
0,-33.8048,-2.09558,-1.43824
0,-32.6829,-1.62979,-1.60755
0,-31.8378,-1.52013,-3.53517
0,-31.0729,-0.860007,-3.36037
0,-29.9664,-0.293851,-2.28574
0,-30.7999,-0.759338,-1.99223
0,-30.154,-0.222656,-3.06923
0,-29.6673,-0.000937127,-2.75123
0,-29.6825,-0.00340494,-2.77227
0,-29.6318,-0.00543136,-2.67084
0,-30.7939,-0.647138,-3.28547
0,-31.0726,-0.85972,-3.36028
0,-31.1647,-0.940969,-1.90089
0,-31.8761,-1.55604,-3.54306
0,-32.3015,-1.97424,-3.62668
0,-30.7147,-0.715521,-2.01561
0,-29.6416,-0.00107191,-2.70264
0,-29.8935,-0.246518,-2.32491
0,-29.6607,-0.0673552,-2.52274
0,-30.1372,-0.212979,-3.06217
0,-33.2976,-1.88841,-1.51141
0,-31.8538,-1.26443,-1.75485
0,-30.0709,-0.175516,-3.03297
0,-32.3576,-1.48898,-1.66252
0,-29.6408,-0.00125272,-2.70059
0,-30.5262,-0.457878,-3.20474
0,-29.9678,-0.120421,-2.98287
0,-29.6341,-0.0341613,-2.58302
0,-29.7008,-0.10487,-2.47004
0,-31.2687,-0.991285,-1.87693
0,-30.1075,-0.195989,-3.04931
0,-30.1475,-0.404444,-2.20392
0,-30.1429,-0.216266,-3.06458
0,-29.6348,-0.00340791,-2.68277
0,-29.7433,-0.0205899,-2.83597
0,-32.5771,-2.2639,-3.67737
0,-30.0622,-0.1707,-3.02898
0,-29.9777,-0.125541,-2.988
0,-30.2166,-0.259684,-3.09476
0,-29.6281,-0.0203564,-2.6166
0,-30.7776,-0.635209,-3.28084
0,-29.6922,-0.00550946,-2.78425
0,-30.1763,-0.235746,-3.07851
0,-29.6436,-0.000683479,-2.70773
0,-29.7732,-0.162314,-2.40425
0,-29.6948,-0.00611361,-2.78723
0,-29.9831,-0.128342,-2.99076
0,-30.6513,-0.544409,-3.24375
0,-29.631,-0.00618326,-2.66699
0,-30.3125,-0.318465,-3.13135
0,-29.6777,-0.00250235,-2.76597
0,-29.9039,-0.0886202,-2.94797
0,-34.5287,-2.38313,-1.34141
0,-31.0071,-0.808372,-3.34338
0,-30.0781,-0.179514,-3.03624
0,-31.097,-0.907929,-1.91691
0,-29.6695,-0.00121326,-2.75444
0,-32.3331,-1.47825,-1.6668
0,-32.1031,-1.77483,-3.58855
0,-29.6425,-0.0464194,-2.55843
0,-33.5903,-2.00858,-1.46859
0,-29.814,-0.191986,-2.37454
0,-29.6986,-0.102933,-2.47252
0,-29.7128,-0.0109077,-2.80692
0,-31.1793,-0.945162,-3.38703
0,-29.6286,-0.00967714,-2.65154
0,-30.8337,-0.776543,-1.98321
0,-29.9921,-0.133015,-2.99528
0,-29.73,-0.0161678,-2.82385
0,-29.6542,-0.0603761,-2.53396
0,-33.44,-1.94709,-1.49036
0,-29.7239,-0.124133,-2.44646
0,-32.7853,-2.49267,-3.71411
0,-29.6311,-0.00607742,-2.66752
0,-30.515,-0.450363,-3.20115
0,-30.0133,-0.14422,-3.0058
0,-29.6321,-0.0306714,-2.59077
0,-29.6369,-0.0385989,-2.5737
0,-29.7695,-0.159591,-2.4071
0,-29.7453,-0.0212853,-2.83775
0,-30.0718,-0.359206,-2.23602
0,-31.245,-0.979888,-1.88231
0,-29.6487,-0.000137172,-2.71885
0,-29.8005,-0.182357,-2.38393
0,-29.6979,-0.10233,-2.47329
0,-29.6493,-0.000102784,-2.72006
0,-29.6301,-0.0262797,-2.60116
0,-29.8795,-0.237186,-2.33302
0,-30.0387,-0.33906,-2.25088
0,-30.9395,-0.829902,-1.95575
0,-32.8454,-2.5604,-3.7245
0,-32.282,-1.4558,-1.67578
0,-30.2462,-0.277545,-3.10634
0,-33.6305,-2.02494,-1.46284
0,-29.6275,-0.0144991,-2.6342
0,-29.9968,-0.313022,-2.27069
0,-29.8171,-0.194177,-2.37243
0,-31.6173,-1.31849,-3.48834
0,-29.628,-0.0200459,-2.61746
0,-29.6826,-0.0886199,-2.49155
0,-29.707,-0.110119,-2.46343
0,-30.3149,-0.319958,-3.13223
0,-29.7377,-0.018674,-2.83091
0,-30.1565,-0.224148,-3.0703
0,-30.0369,-0.337955,-2.25171
0,-30.4862,-0.594832,-2.08339
0,-29.6326,-0.0315856,-2.5887
0,-30.6095,-0.515158,-3.23101
0,-29.9224,-0.0976353,-2.95847
0,-29.6277,-0.0185472,-2.62173
0,-29.7859,-0.0363647,-2.87072
0,-29.6345,-0.00357686,-2.68166
0,-29.8125,-0.190944,-2.37554
0,-29.637,-0.00241369,-2.68995
0,-29.6431,-0.0472811,-2.55682
0,-29.6295,-0.0247956,-2.60485
0,-30.9843,-0.79071,-3.33741
0,-30.1168,-0.386294,-2.2166
0,-30.6613,-0.687783,-2.03073
0,-29.9921,-0.133011,-2.99528
0,-32.6337,-1.60868,-1.61566
0,-32.0759,-1.36451,-1.71293
0,-29.7267,-0.126355,-2.44385
0,-32.7767,-1.66985,-1.59227
0,-31.2196,-0.977971,-3.39688
0,-30.5636,-0.4834,-3.21668
0,-29.6411,-0.00116915,-2.70152
0,-29.6644,-0.000613485,-2.74677
0,-29.7026,-0.00808989,-2.79606
0,-29.6547,-0.0609012,-2.53309
0,-29.7934,-0.177189,-2.38907
0,-31.567,-1.13246,-1.8123
0,-29.6459,-0.000378218,-2.71289
0,-30.61,-0.515505,-3.23117
0,-29.6496,-8.87304e-005,-2.72061
0,-29.8557,-0.221039,-2.34741
0,-30.5614,-0.481894,-3.21598
0,-30.2353,-0.270932,-3.10211
0,-29.9648,-0.118893,-2.98132
0,-29.7533,-0.147294,-2.42024
0,-29.6276,-0.0134081,-2.63784
0,-29.8896,-0.0818079,-2.93964
0,-29.6275,-0.0146746,-2.63362
0,-30.6436,-0.678494,-2.03585
0,-29.7156,-0.117344,-2.45456
0,-32.4917,-1.54739,-1.63947
0,-29.795,-0.040025,-2.87757
0,-29.953,-0.112892,-2.97511
0,-29.6347,-0.0034685,-2.68237
0,-29.6888,-0.0942773,-2.48387
0,-29.6871,-0.0043478,-2.778
0,-32.3488,-2.02288,-3.63555
0,-30.0337,-0.335986,-2.25318
0,-34.3211,-2.30156,-1.36837
0,-29.644,-0.000628937,-2.70855
0,-30.5002,-0.440394,-3.19634
0,-29.6303,-0.00689286,-2.66356
0,-33.5231,-1.98116,-1.47826
0,-31.7888,-1.47452,-3.52497
0,-30.8159,-0.663315,-3.29165
0,-29.856,-0.221265,-2.3472
0,-29.7607,-0.0267616,-2.85082
0,-32.6747,-1.62626,-1.6089
0,-29.8102,-0.0462846,-2.88855
0,-31.053,-0.844269,-3.35526
0,-29.81,-0.046176,-2.88837
0,-30.6904,-0.572128,-3.25545
0,-29.7229,-0.0139029,-2.81697
0,-29.7405,-0.13738,-2.43121
0,-30.4519,-0.408189,-3.18032
0,-31.5904,-1.29453,-3.48246
0,-31.6826,-1.18606,-1.78865
0,-29.7243,-0.0143483,-2.81837
0,-29.6691,-0.0757967,-2.50987
0,-29.6651,-0.000683949,-2.74783
0,-29.7422,-0.0202076,-2.83498
0,-31.0548,-0.84573,-3.35574
0,-29.6509,-3.42757e-005,-2.72335
0,-29.6542,-4.79571e-006,-2.72952
0,-29.6541,-4.01714e-006,-2.72938
0,-31.3178,-1.01481,-1.86591
0,-29.6343,-0.0345269,-2.58223
0,-30.4817,-0.592448,-2.08479
0,-29.6309,-0.0282499,-2.5964
0,-32.544,-1.57002,-1.63063
0,-31.3603,-1.03508,-1.85649
0,-29.6275,-0.0149805,-2.63263
0,-29.7792,-0.166788,-2.39962
0,-29.8879,-0.0809826,-2.93861
0,-29.9291,-0.269869,-2.3052
0,-30.0491,-0.345444,-2.24613
0,-30.1811,-0.424135,-2.19045
0,-30.5008,-0.440774,-3.19652
0,-29.6357,-0.00294926,-2.68593
0,-29.631,-0.00612563,-2.66727
0,-32.3519,-2.02606,-3.63613
0,-30.5227,-0.455551,-3.20364
0,-31.1104,-0.889754,-3.36987
0,-31.4161,-1.1425,-3.44333
0,-30.1675,-0.416198,-2.19584
0,-30.1925,-0.430782,-2.18596
0,-29.7953,-0.0401274,-2.87775
0,-30.3558,-0.345824,-3.14705
0,-29.7444,-0.140375,-2.42786
0,-29.722,-0.0136506,-2.81617
0,-29.6278,-0.018582,-2.62163
0,-29.8737,-0.233246,-2.33649
0,-30.2526,-0.281432,-3.10881
0,-29.6476,-0.000217286,-2.71652
0,-30.1654,-0.229334,-3.074
0,-29.8721,-0.232146,-2.33746
0,-29.653,-0.0590094,-2.53623
0,-29.6946,-0.0994658,-2.47701
0,-29.948,-0.282083,-2.2952
0,-33.6481,-2.03212,-1.46032
0,-30.23,-0.267712,-3.10002
0,-30.2331,-0.454214,-2.17038
0,-29.6344,-0.00360338,-2.68149
0,-31.5997,-1.14769,-1.80553
0,-29.913,-0.259377,-2.31396
0,-30.3078,-0.315514,-3.12961
0,-29.7286,-0.12792,-2.44203
0,-29.9569,-0.114848,-2.97715
0,-30.5383,-0.622816,-2.06719
0,-29.636,-0.0372382,-2.5765
0,-29.8658,-0.227926,-2.34122
0,-30.7628,-0.740333,-2.0023
0,-31.2257,-0.982978,-3.39837
0,-29.8482,-0.215915,-2.35207
0,-32.5578,-2.24307,-3.67389
0,-30.7049,-0.58254,-3.25975
0,-29.7546,-0.0245369,-2.84569
0,-29.7315,-0.130254,-2.43932
0,-29.6582,-0.000132504,-2.73665
0,-29.6375,-0.00222429,-2.69148
0,-29.6297,-0.0254321,-2.60325
0,-29.8355,-0.0571089,-2.90584
0,-31.1957,-0.958445,-3.39104
0,-29.7001,-0.104227,-2.47086
0,-29.6893,-0.00484163,-2.78075
0,-30.1066,-0.195462,-3.04891
0,-29.6541,-0.0602545,-2.53416
0,-33.0091,-1.76815,-1.55539
0,-29.7707,-0.160467,-2.40618
0,-29.6386,-0.00183285,-2.69485
0,-31.3781,-1.04357,-1.85257
0,-30.3235,-0.505455,-2.13749
0,-30.7707,-0.630104,-3.27884
0,-30.5677,-0.638507,-2.05824
0,-29.6564,-0.0627939,-2.53001
0,-29.6752,-0.0817448,-2.50121
0,-29.6717,-0.0784187,-2.50601
0,-30.0555,-0.349335,-2.24325
0,-29.7483,-0.0223223,-2.84035
0,-29.8168,-0.0490655,-2.89318
0,-30.6138,-0.518121,-3.23232
0,-33.2488,-3.03439,-3.79183
0,-29.6672,-0.073992,-2.51256
0,-29.7381,-0.0188175,-2.83129
0,-33.0672,-2.81675,-3.76201
0,-29.7172,-0.0121929,-2.81139
0,-31.5732,-1.13532,-1.81102
0,-29.6296,-0.0251488,-2.60396
0,-29.9532,-0.285412,-2.2925
0,-29.7632,-0.0276915,-2.85289
0,-29.975,-0.124136,-2.9866
0,-30.8356,-0.777516,-1.9827
0,-29.9827,-0.128131,-2.99055
0,-30.3766,-0.359151,-3.15444
0,-30.371,-0.355557,-3.15246
0,-30.0332,-0.154861,-3.01537
0,-31.2692,-1.0188,-3.40886
0,-30.246,-0.277427,-3.10627
0,-30.7542,-0.618104,-3.27411
0,-29.7992,-0.0417381,-2.88066
0,-29.7216,-0.122259,-2.44867
0,-29.634,-0.00382684,-2.68006
0,-30.5437,-0.625729,-2.06552
0,-29.9974,-0.135812,-2.99795
0,-29.7193,-0.120322,-2.45098
0,-29.9148,-0.0939265,-2.95422
0,-30.2074,-0.439422,-2.18017
0,-29.6543,-5.96053e-006,-2.72971
0,-30.255,-0.466754,-2.16219
0,-29.7918,-0.17602,-2.39024
0,-30.379,-0.536315,-2.11837
0,-29.8093,-0.0458853,-2.88788
0,-29.664,-0.000573801,-2.74615
0,-30.1984,-0.248763,-3.08746
0,-30.2344,-0.270367,-3.10174
0,-29.6604,-0.0670682,-2.52319
0,-29.8056,-0.0443739,-2.88529
0,-29.6275,-0.0157098,-2.63031
0,-35.25,-2.66165,-1.25211
0,-30.1288,-0.393431,-2.21158
0,-29.8341,-0.0565143,-2.90493
0,-29.6793,-0.00279667,-2.76813
0,-29.6275,-0.0146375,-2.63375
0,-42.5716,-5.22045,-0.563664
0,-29.6583,-0.000134416,-2.73672
0,-30.1268,-0.207018,-3.05772
0,-32.2355,-1.90709,-3.61416
0,-35.2259,-2.65247,-1.25498
0,-29.7785,-0.0334986,-2.8651
0,-29.6275,-0.0142867,-2.6349
0,-34.0794,-2.20571,-1.40055
0,-31.478,-1.1958,-3.45742
0,-30.0645,-0.17199,-3.03005
0,-30.2225,-0.448132,-2.17439
0,-29.6532,-0.0593201,-2.53571
0,-33.7909,-2.08994,-1.44019
0,-30.3642,-0.351182,-3.15004
0,-30.5734,-0.490171,-3.21978
0,-29.8085,-0.0455451,-2.8873
0,-30.0721,-0.176151,-3.0335
0,-29.629,-0.00887016,-2.65482
0,-30.0172,-0.32574,-2.26092
0,-30.1005,-0.376521,-2.22353
